"id","name","province_id","county_id","sector_id","code"
"1","آب بر","14","288","785","1908022262"
"10","آبدان","7","197","2","1805032484"
"100","اسپکه","16","433","560","1107042506"
"1000","فاروج","12","298","749","2805021377"
"1003","فاضل آباد","24","295","498","2703022507"
"1005","فامنین","30","300","1007","1309012192"
"1006","فتح آباد","4","257","1082","1005042936"
"1008","فخراباد","3","395","1027","2404032704"
"1010","فرادبنه","9","72","697","1401031479"
"1012","فراغی","24","342","136","2709032835"
"1014","فرخ شهر","9","281","437","1402061483"
"1015","فرخی","4","171","604","1023012077"
"1016","فردوس","10","303","33","2907031373"
"1017","فردوسیه","8","282","182","2309032491"
"102","اسدآباد","30","29","1002","1306011469"
"1020","فرسفج","30","125","463","1301012467"
"1022","فرون اباد","8","106","684","2313022705"
"1024","فریدونشهر","4","306","610","1007011418"
"1029","فشم","8","275","290","2304011582"
"103","اسدیه","10","181","709","2902032276"
"1030","فلاورجان","4","310","611","1008021419"
"1031","فنوج","16","311","808","1119012175"
"1032","فولادشهر","4","378","614","1012032128"
"1037","فیروزآباد","26","253","447","1509012367"
"1038","فیروزان","30","428","235","1303012206"
"1039","فیروزکوه","8","315","691","2314021577"
"104","اسفدن","10","318","713","2904022643"
"1042","فیل اباد","9","297","60","1403032938"
"1043","فین","29","82","449","2202032307"
"1046","قاضی","12","384","357","2806012567"
"1049","قاین","10","318","713","2904021375"
"105","اسفراین","12","30","744","2801021349"
"1050","قدس","8","319","692","2316012116"
"1052","قرچک","8","320","693","2321011593"
"1053","قرق","24","362","108","2705032868"
"1054","قرقری","16","447","450","1111022916"
"1055","قروه","20","321","867","1205021462"
"1056","قروه درگزین","30","180","1005","1310021470"
"106","اسفرورین","18","113","30","2602012114"
"1060","قزوین","18","322","858","2603051595"
"1065","قشم","29","323","1000","2204021573"
"1066","قصابه","3","395","456","2404052749"
"1068","قصرقند","16","325","809","1118011445"
"1075","قلعه رییسی","23","355","189","1702022479"
"1076","قلعه قاضی","29","82","461","2202062063"
"1078","قلعه نو","8","221","462","2303062887"
"1081","قم","19","327","859","2501031114"
"109","اسلام اباد","3","103","32","2406042750"
"1090","قمصر","4","332","465","1010021424"
"1091","قنوات","19","327","859","2501032516"
"1095","قوشخانه","12","284","466","2804032846"
"1096","قهاوند","30","443","391","1304052356"
"1097","قهجاورستان","4","37","596","1002032021"
"1098","قهدریجان","4","310","467","1008031439"
"1099","قهستان","10","181","468","2902012051"
"11","آبدانان","6","3","627","1606021501"
"110","اسلام شهر آق گل","30","398","1009","1302032871"
"1100","قیام دشت","8","221","226","2303052886"
"1101","قیدار","14","155","781","1903031533"
"1103","کاج","9","23","696","1405012807"
"1109","کاشان","4","332","612","1010031425"
"107","اسکو","1","31","636","0322021204"
"108","اسلام آبادغرب","22","32","901","0501031256"
"1001","فاروق","17","392","369","0712062951"
"1002","فاریاب","21","299","884","0822012429"
"1004","فال","17","406","542","0721012966"
"1009","فدامی","17","175","444","0705042016"
"1011","فراشبند","17","301","839","0722011311"
"1013","فرح آباد","27","233","294","0207072874"
"1021","فرمهین","28","302","986","0013012136"
"1023","فرهادگرد","11","308","734","0922022566"
"1025","فریدونکنار","27","307","968","0223021152"
"1026","فریم","27","233","265","0207022588"
"1027","فریمان","11","308","734","0922021390"
"1028","فسا","17","309","840","0708031310"
"1033","فومن","25","312","941","0109021142"
"1034","فهرج","21","313","885","0819012317"
"1035","فیرورق","2","174","445","0403061239"
"1036","فیروزآباد","17","314","841","0709031313"
"1040","فیروزه","11","316","735","0933012220"
"1041","فیض آباد","11","403","742","0930021360"
"1044","قادراباد","17","158","1028","0718011323"
"1045","قاسم آباد","11","169","171","0919032439"
"1047","قایم شهر","27","317","969","0210021176"
"1051","قدمگاه","11","432","310","0917022246"
"1057","قره آغاج","1","140","642","0323022145"
"1058","قره بلاغ","17","309","394","0708012762"
"1059","قره ضیاءالدین","2","144","663","0416021237"
"1067","قصرشیرین","22","324","910","0506021266"
"1069","قطب آباد","17","137","483","0704032178"
"1070","قطرویه","17","430","457","0714042058"
"1071","قطور","2","174","458","0403052044"
"1072","قلعه","22","339","119","0502082896"
"1073","قلعه تل","13","59","759","0615022551"
"1074","قلعه خواجه","13","45","753","0621032550"
"1077","قلعه گنج","21","326","886","0816022176"
"1079","قلعه نوعلیا","11","57","71","0937022970"
"1080","قلندرآباد","11","308","464","0922012442"
"1092","قوچان","11","328","736","0913031378"
