"id","name","province_id","county_id","code"
"1","آب پخش","7","185","180306"
"10","آشار","16","408","111302"
"1000","مرکزی","29","323","220402"
"1001","مرکزی","29","416","220503"
"1002","مرکزی","30","29","130601"
"1003","مرکزی","30","93","130702"
"1004","مرکزی","30","125","130102"
"1005","مرکزی","30","180","131002"
"1006","مرکزی","30","209","130803"
"1007","مرکزی","30","300","130901"
"1008","مرکزی","30","335","130502"
"1009","مرکزی","30","398","130203"
"1010","مرکزی","30","428","130302"
"1011","مرکزی","30","443","130407"
"1012","مرکزی","31","16","210702"
"1013","مرکزی","31","22","210102"
"1014","مرکزی","31","35","210802"
"1015","مرکزی","31","61","210202"
"1016","مرکزی","31","92","211102"
"1017","مرکزی","31","119","210302"
"1018","مرکزی","31","151","210901"
"1019","مرکزی","31","409","210401"
"102","بندزرک","29","416","220505"
"1020","مرکزی","31","414","210601"
"1021","مرکزی","31","448","210503"
"1022","مروست","31","151","210902"
"1026","مشکین دشت","5","304","300602"
"1027","مشکین شرقی","3","395","240403"
"1030","معمولان","26","109","150802"
"1032","منج","9","377","140404"
"1034","موچش","20","334","120802"
"1035","مود","10","243","290302"
"1036","موران","3","365","240505"
"1037","موسیان","6","196","160303"
"1038","موگرمون","23","379","170802"
"1039","مهاباد","4","21","100103"
"104","بوستان","8","94","231902"
"1040","مهران","29","84","220306"
"1042","مهردشت","4","419","101403"
"1043","مهرگان","16","240","110606"
"1047","میانکوه","9","23","140502"
"105","بوستان","23","58","170702"
"1052","میمه","4","272","101602"
"1053","مینان","16","242","112303"
"1057","نازیل","16","120","112102"
"1058","ناغان","9","357","140702"
"106","بوشکان","7","185","180305"
"1060","ندوشن","31","414","210602"
"1061","نسکند","16","242","112304"
"1064","نصرت آباد","16","225","110503"
"1068","نمشیر","20","62","120103"
"1069","ننور","20","62","120104"
"107","بومهن","8","108","232001"
"1076","نوکنده","24","83","270102"
"1077","نیاسر","4","332","101004"
"1078","نیر","31","119","210303"
"108","بهاران","24","362","270503"
"1080","نیمبلوک","10","318","290403"
"1082","وردشت","4","257","100504"
"1084","وشمگیر","24","13","270801"
"1086","ویسیان","26","147","151003"
"1087","ویلکیج","3","425","240801"
"1088","هرمز","29","82","220207"
"109","بهمن","31","16","210701"
"1092","هندمینی","6","67","161002"
"1094","هیدوچ","16","263","111402"
"1095","هیر","3","20","240104"
"11","آفتاب","8","126","230103"
"111","بهمیی گرمسیری","23","97","170501"
"113","بیارجمند","15","270","200302"
"115","بیرانوند","26","157","150303"
"118","بیکاه","29","216","220704"
"12","آهوران","16","433","110706"
"120","پاپی","26","157","150302"
"121","پاتاوه","23","192","170401"
"122","پادنا","4","257","100501"
"101","بندرامام خمینی","13","85","060501"
"103","بوژگان","11","116","090604"
"110","بهمن صغاد","17","2","070105"
"112","بهنمیر","27","56","021603"
"114","بیدشهر","17","47","073602"
"116","بیرم","17","373","071105"
"117","بیستون","22","438","051101"
"119","بیلوار","22","339","050208"
"1023","مزایجان","17","87","071603"
"1024","مشراگه","13","204","061902"
"1025","مشکان","11","173","093802"
"1029","معصومیه","28","19","00104"
"1031","ممقان","1","5","032102"
"1033","منجوان","1","154","032603"
"1041","مهربان","1","239","030502"
"1044","میان آب","13","277","061204"
"1045","میان جلگه","11","432","091705"
"1046","میان ولایت","11","114","090403"
"1048","میداود","13","59","061504"
"1049","میرزاکوچک جنگلی","25","287","010803"
"1050","میلاجرد","28","344","001102"
"1051","میمند","17","314","070904"
"1054","مینو","13","160","060702"
"1055","نارنجستان","27","261","022702"
"1056","نازلو","2","26","040105"
"1059","نالوس","2","36","041302"
"1062","نشتا","27","123","020503"
"1065","نظرکهریزی","1","440","031103"
"1066","نگار","21","70","081004"
"1067","نگین کویر","21","313","081902"
"1070","نوبران","28","236","00604"
"1071","نوبندگان","17","309","070804"
"1072","نوخندان","11","179","090704"
"1073","نوده انقلاب","11","173","093803"
"1074","نوسود","22","107","050303"
"1075","نوق","21","214","080404"
"1079","نیسان","13","446","062301"
"1081","وراوی","17","406","072103"
"1083","وزینه","2","248","040402"
"1085","ویس","13","63","062402"
"1089","هزارجریب","27","424","021902"
"1090","هلالی","11","131","093402"
"1091","همایجان","17","238","070603"
"1093","هنزا","21","200","081802"
"1096","یامچی","1","391","030703"
"1098","یزدان آباد","21","227","080503"
"1099","یونسی","11","64","093102"
"123","پادنا علیا","4","257","100503"
"124","پارود","16","202","110805"
"129","پشتکوه","16","152","110304"
"13","آیسک","10","241","290601"
"131","پلان","16","143","110204"
"132","پلنگ آباد","5","34","300502"
"133","پیربکران","4","310","100801"
"134","پیرسلمان","30","29","130602"
"135","پیشخور","30","300","130902"
"136","پیشکمر","24","342","270903"
"137","پیشین","16","202","110801"
"138","تازه کند","3","103","240603"
"140","تخت","29","82","220205"
"145","تلنگ","16","325","111803"
"146","تنب","29","17","220101"
"147","تنکمان","5","422","300302"
"148","توکهور","29","416","220504"
"15","احمد آباد مستوفی","8","33","231003"
"151","تیمورآباد","16","437","111602"
"152","ثمرین","3","20","240106"
"153","جاپلق","26","27","150701"
"154","جاجرود","8","108","232002"
"156","جالق","16","240","110601"
"160","جرقویه سفلی","4","37","100201"
"161","جرقویه علیا","4","37","100204"
"162","جرگلان","12","201","280803"
"164","جزمان","6","442","161102"
"165","جزینک","16","231","111001"
"166","جعفراباد","19","327","250101"
"167","جغین","29","216","220703"
"168","جلگه","4","37","100206"
"169","جلگه چاه هاشم","16","189","111202"
"172","جلگه سنخواست","12","129","280301"
"173","جلگه شوقان","12","129","280302"
"174","جلگه ماژان","10","172","291002"
"175","جلیل آباد","8","112","231802"
"176","جناح","29","74","220901"
"18","احمدی","29","149","220803"
"180","جوادآباد","8","435","230602"
"182","جوقین","8","282","230903"
"183","جوکار","30","398","130201"
"185","جونقان","9","297","140304"
"189","چاروسا","23","355","170202"
"19","ارجمند","8","315","231401"
"191","چاه مبارک","7","294","181002"
"195","چشمه ساران","24","8","271001"
"196","چغادک","7","88","180103"
"198","چگنی","26","147","151001"
"2","آبدان","7","197","180503"
"202","چنارود","4","139","102001"
"203","چندار","5","235","300203"
"204","چنگ الماس","20","98","120201"
"205","چوار","6","53","160102"
"206","چورزق","14","288","190801"
"207","چهارباغ","5","235","300204"
"209","چهاردانگه","8","33","231001"
"211","چهاردولی","20","321","120504"
"213","حبیب آباد","4","68","102201"
"215","حرا","29","323","220404"
"217","حسین آباد","20","259","120405"
"218","حلب","14","50","190601"
"224","خارک","7","88","180101"
"226","خاوران","8","221","230305"
"227","خاوومیرآباد","20","393","120601"
"228","خاوه","26","188","150403"
"23","ارسک","10","76","290802"
"230","خبوشان","12","298","280501"
"231","خرانق","31","22","210101"
"234","خرمدشت","18","113","260202"
"235","خزل","30","428","130301"
"16","احمدآباد","11","396","091601"
"20","ارد","17","361","072702"
"21","ارژن","17","283","070706"
"22","ارس","2","110","041501"
"125","پاریز","21","264","080602"
"126","پاسارگاد","17","105","072302"
"127","پایین جام","11","116","090605"
"128","پره سر","25","213","011401"
"130","پشتکوه","17","430","071402"
"139","تالارپی","27","267","022602"
"141","تخت سلیمان","2","122","041202"
"142","ترکمانچای","1","413","031001"
"143","تسوج","1","273","031403"
"144","تشان","13","95","060604"
"149","تولم","25","287","010801"
"150","تیکمه داش","1","73","031301"
"155","جازموریان","21","218","081501"
"157","جایزان","13","43","061601"
"158","جبالبارز","21","138","080302"
"163","جره وبالاده","17","331","071001"
"170","جلگه رخ","11","117","090507"
"171","جلگه زوزن","11","169","091903"
"177","جنت","17","175","070505"
"178","جنت آباد","11","285","094002"
"179","جنگل","11","212","092701"
"181","جوزار","17","401","071306"
"184","جولکی","13","12","062602"
"186","جویم","17","373","071102"
"187","چابکسر","25","219","010704"
"188","چاپشلو","11","179","090701"
"190","چاه دادخدا","21","326","081601"
"192","چاه مرید","21","356","080905"
"193","چاه ورز","17","375","071505"
"194","چترود","21","338","080807"
"197","چغامیش","13","183","060803"
"199","چلو","13","45","062102"
"200","چم خلف عیسی","13","444","061802"
"201","چمستان","27","426","021402"
"208","چهاردانگه","1","445","032702"
"212","حاجیلار","2","144","041601"
"214","حتی","13","374","061702"
"216","حسن آباد","17","39","070303"
"219","حمیل","22","32","050101"
"220","حناء","17","66","073502"
"221","حور","21","299","082202"
"222","حومه","1","5","032103"
"223","حویق","25","291","010406"
"225","خاروانا","1","436","032401"
"229","خبر","21","60","080104"
"232","خرقان","28","228","001001"
"233","خرم آباد","27","123","020504"
"239","خضرآباد","31","35","210801"
"24","ارشق","3","395","240401"
"240","خلجستان","19","327","250102"
"246","خورش رستم","3","162","240301"
"25","ارم","7","185","180304"
"250","داشلی برون","24","371","270602"
"252","دامن","16","52","110106"
"253","درب گنبد","26","352","150605"
"254","درح","10","243","290303"
"256","دستگردان","10","290","291101"
"258","دشت عباس","6","196","160305"
"259","دشتابی","18","91","260106"
"26","ارمند","9","153","141002"
"262","دلبران","20","321","120505"
"263","دلوار","7","124","180201"
"264","دوآب صمصامی","9","353","140603"
"271","دیشموک","23","355","170206"
"274","دیهوک","10","290","291103"
"275","ذلقی","26","41","150104"
"276","رامند","18","91","260102"
"288","رودبارالموت شرقی","18","322","260302"
"289","رودبارالموت غربی","18","322","260303"
"290","رودبارقصران","8","275","230401"
"295","رودخانه","29","216","220701"
"296","روددشت","9","377","140405"
"298","رودهن","8","191","230203"
"30","اسفرورین","18","113","260201"
"300","رویدر","29","164","221001"
"301","ریز","7","133","180901"
"302","ریگ","7","370","180702"
"303","ریگ ملک","16","415","111703"
"304","زارچ","31","448","210504"
"305","زاغه","26","157","150305"
"306","زاگرس","6","146","160405"
"309","زاینده رود","9","234","140802"
"311","زرآباد","16","345","110901"
"312","زرنه","6","54","160701"
"313","زرین آباد","6","196","160301"
"314","زرین دشت","30","428","130303"
"315","ززوماهرو","26","41","150102"
"317","زنجانرود","14","230","190402"
"318","زند","30","398","130204"
"319","زنده رود","4","305","100604"
"32","اسلام آباد","3","103","240604"
"320","زواره","4","21","100102"
"321","زهان","10","232","290902"
"325","زیلایی","23","381","170902"
"326","زیویه","20","252","120301"
"327","سارال","20","199","120703"
"328","ساربوک","16","325","111802"
"33","اسلامیه","10","303","290703"
"331","سامن","30","398","130202"
"332","سبلان","3","249","241002"
"333","سجاس رود","14","155","190304"
"334","سده","10","318","290405"
"336","سراب باغ","6","3","160603"
"337","سراب میمه","6","196","160304"
"340","سرحد","12","284","280401"
"342","سرخه","15","247","200801"
"344","سردرود","30","209","130801"
"346","سرشیو","20","252","120303"
"347","سرشیو","20","393","120602"
"348","سرفاریاب","23","145","170602"
"28","ازگله","22","128","051202"
"29","اسالم","25","291","010405"
"31","اسفندقه","21","138","080306"
"34","اسماعیلی","21","138","080305"
"236","خسروشاه","1","115","030304"
"237","خشت","17","331","071006"
"238","خشکبیجار","25","211","010506"
"241","خلیفان","2","404","040701"
"242","خمام","25","211","010501"
"243","خنافره","13","268","061102"
"244","خنجین","28","302","001302"
"245","خواجه","1","439","031601"
"247","خورگام","25","217","010604"
"248","دابودشت","27","14","020103"
